format,date,opponent,venue,result,nepal_runs,nepal_wickets_lost,opponent_runs,opponent_wickets_lost
T20I,"November 02, 2023",Oman,"Tribhuvan University International Cricket Ground, Kirtipur",Lost,140.0,10.0,145,9
T20I,"November 03, 2023",United Arab Emirates,Mulpani Cricket Ground,Won,135.0,2.0,134,9
T20I,"November 05, 2023",Oman,"Tribhuvan University International Cricket Ground, Kirtipur",Tied,10.0,1.0,21,0
T20I,"February 27, 2024",Namibia,"Tribhuvan University International Cricket Ground, Kirtipur",Lost,186.0,10.0,206,4
T20I,"February 28, 2024",Netherlands,"Tribhuvan University International Cricket Ground, Kirtipur",Lost,182.0,8.0,184,4
T20I,"March 01, 2024",Namibia,"Tribhuvan University International Cricket Ground, Kirtipur",Won,180.0,8.0,177,7
T20I,"March 02, 2024",Netherlands,"Tribhuvan University International Cricket Ground, Kirtipur",Won,121.0,4.0,120,10
T20I,"March 05, 2024",Netherlands,"Tribhuvan University International Cricket Ground, Kirtipur",Lost,184.0,8.0,189,6
T20I,"March 09, 2024",Hong Kong,"Mission Road Ground, Mong Kok, Hong Kong",Lost,139.0,10.0,212,6
T20I,"March 10, 2024",Hong Kong,"Mission Road Ground, Mong Kok, Hong Kong",No Result,,,65,2
T20I,"March 12, 2024",Papua New Guinea,"Mission Road Ground, Mong Kok, Hong Kong",Won,198.0,6.0,113,10
T20I,"March 13, 2024",Papua New Guinea,"Mission Road Ground, Mong Kok, Hong Kong",Lost,85.0,10.0,171,8
T20I,"April 12, 2024",Malaysia,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Won,144.0,5.0,143,3
T20I,"April 13, 2024",Qatar,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Won,210.0,7.0,178,9
T20I,"April 15, 2024",Hong Kong,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Won,117.0,2.0,114,10
T20I,"April 17, 2024",Saudi Arabia,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Won,75.0,4.0,73,7
T20I,"April 19, 2024",United Arab Emirates,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Lost,119.0,9.0,123,4
T20I,"April 20, 2024",Hong Kong,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Lost,139.0,8.0,140,6
T20I,"June 04, 2024",Netherlands,"Grand Prairie Stadium, Dallas",Lost,106.0,10.0,109,4
T20I,"June 14, 2024",South Africa,"Arnos Vale Ground, Kingstown, St Vincent",Lost,114.0,7.0,115,7
T20I,"June 16, 2024",Bangladesh,"Arnos Vale Ground, Kingstown, St Vincent",Lost,85.0,10.0,106,10
T20I,"September 28, 2024",Canada,"Maple Leaf North-West Ground, King City",Lost,109.0,10.0,123,8
T20I,"September 29, 2024",Oman,"Maple Leaf North-West Ground, King City",Won,176.0,6.0,139,10
T20I,"October 01, 2024",Canada,"Maple Leaf North-West Ground, King City",Lost,139.0,6.0,140,6
T20I,"October 02, 2024",Oman,"Maple Leaf North-West Ground, King City",Won,157.0,7.0,101,10
T20I,"October 17, 2024",United States of America,"Grand Prairie Stadium, Dallas",Won,164.0,9.0,147,7
T20I,"October 19, 2024",United States of America,"Grand Prairie Stadium, Dallas",Tied,3.0,0.0,2,2
T20I,"October 20, 2024",United States of America,"Grand Prairie Stadium, Dallas",Won,157.0,2.0,156,5
T20I,"April 09, 2025",Qatar,"Mission Road Ground, Mong Kok, Hong Kong",Won,154.0,2.0,151,5
T20I,"April 10, 2025",Kuwait,"Mission Road Ground, Mong Kok, Hong Kong",Won,186.0,4.0,185,8
T20I,"April 12, 2025",Hong Kong,"Mission Road Ground, Mong Kok, Hong Kong",No Result,,,68,3
T20I,"April 13, 2025",Kuwait,"Mission Road Ground, Mong Kok, Hong Kong",Lost,171.0,10.0,174,7
T20I,"June 16, 2025",Netherlands,"Titwood, Glasgow",Tied,0.0,2.0,6,0
T20I,"June 17, 2025",Scotland,"Titwood, Glasgow",Won,98.0,8.0,97,10
T20I,"June 19, 2025",Netherlands,"Titwood, Glasgow",Won,180.0,5.0,174,7
T20I,"June 20, 2025",Scotland,"Titwood, Glasgow",Lost,159.0,10.0,193,5
T20I,"September 27, 2025",West Indies,Sharjah Cricket Stadium,Won,148.0,8.0,129,9
T20I,"September 29, 2025",West Indies,Sharjah Cricket Stadium,Won,173.0,6.0,83,10
T20I,"September 30, 2025",West Indies,Sharjah Cricket Stadium,Lost,122.0,10.0,123,0
T20I,"October 08, 2025",Kuwait,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Won,141.0,7.0,83,10
T20I,"October 10, 2025",Japan,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Won,132.0,5.0,131,8
T20I,"October 12, 2025",United Arab Emirates,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Won,140.0,6.0,139,9
T20I,"October 13, 2025",Qatar,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Won,147.0,9.0,142,10
T20I,"October 15, 2025",Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Won,151.0,9.0,113,9
T20I,"October 17, 2025",Samoa,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Won,211.0,4.0,87,7
