format,date,opponent,venue,result,nepal_runs,nepal_wickets_lost,opponent_runs,opponent_wickets_lost
ODI,"August 14, 2010",United States of America,Ovale di Rastignano,No Result,51.0,2.0,,
ODI,"August 18, 2010",Argentina,Centro Sportivo Dozza,Won,194.0,2.0,193.0,8.0
ODI,"August 19, 2010",United States of America,Ovale di Rastignano,Lost,148.0,10.0,203.0,8.0
ODI,"August 20, 2010",Cayman Islands,Centro Sportivo Ca'Nova,Won,70.0,3.0,69.0,10.0
ODI,"September 03, 2012",Singapore,Selangor Turf Club,Won,112.0,5.0,111.0,10.0
ODI,"September 04, 2012",Tanzania,Bayuemas Oval,Won,83.0,2.0,82.0,10.0
ODI,"September 06, 2012",Malaysia,Selangor Turf Club,Won,71.0,0.0,69.0,10.0
ODI,"September 07, 2012",United States of America,Kinrara Academy Oval,Won,258.0,8.0,226.0,10.0
ODI,"September 09, 2012",Denmark,Kinrara Academy Oval,Won,240.0,10.0,130.0,9.0
ODI,"April 28, 2013",United States of America,Somerset Cricket Club,Lost,272.0,10.0,366.0,6.0
ODI,"May 01, 2013",Bermuda,"Lords, St David's Cricket Club Ground",Won,107.0,2.0,106.0,10.0
ODI,"May 04, 2013",Italy,"Lords, St David's Cricket Club Ground",Won,129.0,2.0,127.0,9.0
ODI,"May 05, 2013",Uganda,National Stadium,Won,153.0,5.0,151.0,8.0
T20I,"March 16, 2014",Hong Kong,Zahur Ahmed Chowdhury Stadium,Won,149.0,8.0,69.0,10.0
T20I,"March 18, 2014",Bangladesh,Zahur Ahmed Chowdhury Stadium,Lost,126.0,5.0,132.0,2.0
ODI,"May 01, 2014",United Arab Emirates,Selangor Turf Club,Won,195.0,6.0,191.0,10.0
ODI,"May 02, 2014",Malaysia,Bayuemas Oval,Won,150.0,5.0,149.0,10.0
ODI,"May 05, 2014",Hong Kong,Bayuemas Oval,Won,147.0,3.0,181.0,10.0
ODI,"October 23, 2014",Uganda,Kinrara Academy Oval,Lost,183.0,10.0,203.0,8.0
ODI,"October 24, 2014",Bermuda,Selangor Turf Club,Won,101.0,2.0,100.0,10.0
ODI,"October 27, 2014",United States of America,Kinrara Academy Oval,No Result,27.0,3.0,204.0,10.0
ODI,"October 29, 2014",Malaysia,Selangor Turf Club,Won,89.0,2.0,142.0,10.0
ODI,"October 30, 2014",Uganda,Kinrara Academy Oval,Won,223.0,10.0,161.0,10.0
T20I,"November 24, 2014",Hong Kong,P Sara Oval,Lost,72.0,10.0,73.0,8.0
ODI,"January 17, 2015",Uganda,Affies Park,Lost,144.0,10.0,146.0,10.0
ODI,"January 18, 2015",Netherlands,United Cricket Club Ground,Won,159.0,8.0,158.0,10.0
ODI,"January 20, 2015",Canada,Wanderers Cricket Ground,Won,115.0,3.0,114.0,10.0
ODI,"January 21, 2015",Namibia,United Cricket Club Ground,Won,146.0,7.0,142.0,10.0
ODI,"January 23, 2015",Kenya,Affies Park,Lost,194.0,10.0,195.0,5.0
ODI,"January 24, 2015",Kenya,Affies Park,Lost,193.0,10.0,208.0,9.0
T20I,"July 01, 2015",Netherlands,VRA Ground,Lost,69.0,10.0,172.0,4.0
T20I,"July 02, 2015",Netherlands,Hazelaarweg,Lost,131.0,9.0,149.0,6.0
T20I,"July 13, 2015",Ireland,"Civil Service Cricket Club, Stormont",Lost,53.0,10.0,54.0,2.0
T20I,"July 15, 2015",Hong Kong,"Civil Service Cricket Club, Stormont",Lost,109.0,10.0,110.0,5.0
T20I,"July 17, 2015",Papua New Guinea,"The Village, Malahide",Lost,93.0,10.0,99.0,2.0
ODI,"November 14, 2015",Oman,Sheikh Zayed Stadium Nursery 1,Lost,184.0,10.0,187.0,7.0
ODI,"November 16, 2015",Papua New Guinea,Sheikh Zayed Stadium,Lost,232.0,8.0,235.0,8.0
ODI,"November 18, 2015",Papua New Guinea,Sheikh Zayed Stadium,Lost,224.0,8.0,225.0,7.0
ODI,"April 16, 2016",Namibia,Tribhuvan University International Cricket Ground,Won,197.0,5.0,195.0,9.0
ODI,"April 18, 2016",Namibia,Tribhuvan University International Cricket Ground,Won,240.0,7.0,239.0,9.0
ODI,"August 13, 2016",Netherlands,VRA Ground,Lost,94.0,10.0,96.0,3.0
ODI,"March 11, 2017",Kenya,Tribhuvan University International Cricket Ground,Lost,112.0,8.0,98.0,5.0
ODI,"March 13, 2017",Kenya,Tribhuvan University International Cricket Ground,Won,160.0,3.0,155.0,10.0
ODI,"October 13, 2017",Hong Kong,"Mission Road Ground, Mong Kok",Lost,111.0,10.0,194.0,10.0
ODI,"December 06, 2017",United Arab Emirates,Sheikh Zayed Stadium,Lost,221.0,6.0,225.0,3.0
ODI,"December 08, 2017",United Arab Emirates,Sheikh Zayed Stadium,Lost,132.0,10.0,195.0,10.0
ODI,"February 09, 2018",Oman,Affies Park,Lost,138.0,10.0,139.0,4.0
ODI,"February 11, 2018",United Arab Emirates,United Cricket Club Ground,Won,115.0,6.0,114.0,10.0
ODI,"February 12, 2018",Kenya,Wanderers Cricket Ground,Won,178.0,7.0,177.0,8.0
ODI,"February 14, 2018",Canada,Wanderers Cricket Ground,Won,195.0,9.0,194.0,8.0
ODI,"February 15, 2018",United Arab Emirates,Wanderers Cricket Ground,Lost,270.0,8.0,277.0,4.0
ODI,"March 04, 2018",Zimbabwe,Queens Sports Club,Lost,264.0,8.0,380.0,6.0
ODI,"March 08, 2018",Scotland,Queens Sports Club,Lost,149.0,10.0,153.0,6.0
ODI,"March 12, 2018",Hong Kong,Bulawayo Athletic Club,Won,155.0,5.0,153.0,10.0
ODI,"March 15, 2018",Papua New Guinea,Old Hararians Sports Club,Won,115.0,4.0,114.0,10.0
ODI,"March 17, 2018",Netherlands,Kwekwe Sports Club,Lost,144.0,10.0,189.0,9.0
T20I,"July 29, 2018",Netherlands,Lord's,No Result,,,174.0,4.0
ODI,"August 30, 2018",United Arab Emirates,Kinrara Academy Oval,Lost,176.0,10.0,254.0,9.0
ODI,"January 25, 2019",United Arab Emirates,ICC Academy,Lost,113.0,10.0,116.0,7.0
ODI,"January 26, 2019",United Arab Emirates,ICC Academy,Won,242.0,9.0,97.0,10.0
ODI,"January 28, 2019",United Arab Emirates,ICC Academy,Won,255.0,6.0,254.0,6.0
T20I,"January 31, 2019",United Arab Emirates,ICC Academy,Lost,132.0,7.0,153.0,6.0
T20I,"February 01, 2019",United Arab Emirates,ICC Academy,Won,111.0,6.0,107.0,10.0
T20I,"February 03, 2019",United Arab Emirates,ICC Academy,Won,104.0,8.0,90.0,8.0
T20I,"July 13, 2019",Malaysia,Kinrara Academy Oval,Won,129.0,3.0,128.0,9.0
T20I,"July 14, 2019",Malaysia,Kinrara Academy Oval,Won,173.0,6.0,167.0,7.0
T20I,"July 23, 2019",Qatar,Indian Association Ground,Lost,122.0,10.0,124.0,6.0
T20I,"July 24, 2019",Malaysia,Indian Association Ground,Won,86.0,3.0,83.0,7.0
T20I,"July 27, 2019",Kuwait,Indian Association Ground,Won,143.0,3.0,141.0,9.0
T20I,"July 28, 2019",Singapore,Indian Association Ground,Lost,109.0,10.0,191.0,6.0
T20I,"September 27, 2019",Zimbabwe,Indian Association Ground,Lost,132.0,6.0,133.0,5.0
T20I,"September 28, 2019",Singapore,Indian Association Ground,Won,154.0,1.0,151.0,3.0
T20I,"October 01, 2019",Zimbabwe,Indian Association Ground,Lost,120.0,9.0,160.0,6.0
T20I,"October 06, 2019",Hong Kong,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Won,126.0,6.0,125.0,6.0
T20I,"October 07, 2019",Netherlands,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Won,134.0,6.0,133.0,10.0
T20I,"October 09, 2019",Ireland,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Lost,132.0,10.0,145.0,8.0
T20I,"October 10, 2019",Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Lost,64.0,10.0,65.0,4.0
T20I,"December 05, 2019",Bhutan,Tribhuvan University International Cricket Ground,Won,236.0,3.0,95.0,6.0
T20I,"December 06, 2019",Maldives,Tribhuvan University International Cricket Ground,Won,163.0,7.0,79.0,6.0
T20I,"December 09, 2019",Maldives,Tribhuvan University International Cricket Ground,Won,98.0,5.0,94.0,9.0
ODI,"February 05, 2020",Oman,Tribhuvan University International Cricket Ground,Lost,179.0,10.0,197.0,9.0
ODI,"February 08, 2020",United States of America,Tribhuvan University International Cricket Ground,Won,190.0,10.0,155.0,10.0
ODI,"February 09, 2020",Oman,Tribhuvan University International Cricket Ground,Lost,249.0,8.0,250.0,2.0
ODI,"February 12, 2020",United States of America,Tribhuvan University International Cricket Ground,Won,36.0,2.0,35.0,10.0
T20I,"March 01, 2020",Hong Kong,Terdthai Cricket Ground,Lost,111.0,10.0,154.0,6.0
T20I,"March 04, 2020",Thailand,Terdthai Cricket Ground,Won,72.0,1.0,66.0,10.0
T20I,"April 17, 2021",Netherlands,"Tribhuvan University International Cricket Ground, Kirtipur",Won,141.0,1.0,136.0,4.0
T20I,"April 19, 2021",Malaysia,"Tribhuvan University International Cricket Ground, Kirtipur",Won,113.0,1.0,109.0,10.0
T20I,"April 20, 2021",Netherlands,"Tribhuvan University International Cricket Ground, Kirtipur",Lost,206.0,6.0,209.0,7.0
T20I,"April 22, 2021",Malaysia,"Tribhuvan University International Cricket Ground, Kirtipur",Won,217.0,7.0,148.0,10.0
T20I,"April 24, 2021",Netherlands,"Tribhuvan University International Cricket Ground, Kirtipur",Won,238.0,3.0,96.0,10.0
ODI,"September 07, 2021",Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Won,135.0,8.0,134.0,10.0
ODI,"September 10, 2021",Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Won,233.0,10.0,82.0,10.0
ODI,"September 13, 2021",United States of America,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Won,231.0,5.0,230.0,9.0
ODI,"September 14, 2021",Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Lost,196.0,10.0,200.0,5.0
ODI,"September 19, 2021",Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Won,122.0,3.0,121.0,10.0
T20I,"February 11, 2022",Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Won,137.0,4.0,135.0,6.0
T20I,"February 12, 2022",United Arab Emirates,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Lost,167.0,5.0,192.0,3.0
T20I,"February 14, 2022",Ireland,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Lost,111.0,9.0,127.0,10.0
T20I,"February 18, 2022",Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Won,117.0,8.0,78.0,10.0
T20I,"February 19, 2022",Philippines,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Won,218.0,3.0,82.0,8.0
T20I,"February 21, 2022",Canada,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Won,81.0,2.0,80.0,10.0
T20I,"February 22, 2022",United Arab Emirates,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Lost,107.0,10.0,175.0,7.0
T20I,"February 24, 2022",Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Won,90.0,1.0,87.0,9.0
ODI,"March 16, 2022",Papua New Guinea,Sharjah Cricket Stadium,Won,208.0,8.0,204.0,8.0
ODI,"March 18, 2022",United Arab Emirates,Dubai International Cricket Stadium,Lost,120.0,10.0,168.0,10.0
ODI,"March 21, 2022",United Arab Emirates,Dubai International Cricket Stadium,Lost,103.0,10.0,202.0,9.0
ODI,"March 22, 2022",Papua New Guinea,Dubai International Cricket Stadium,Won,174.0,3.0,173.0,8.0
ODI,"March 25, 2022",Papua New Guinea,"Tribhuvan University International Cricket Ground, Kirtipur",Lost,286.0,8.0,292.0,8.0
ODI,"March 26, 2022",Papua New Guinea,"Tribhuvan University International Cricket Ground, Kirtipur",Lost,278.0,8.0,283.0,7.0
T20I,"March 28, 2022",Papua New Guinea,"Tribhuvan University International Cricket Ground, Kirtipur",Won,183.0,9.0,168.0,10.0
T20I,"March 30, 2022",Malaysia,"Tribhuvan University International Cricket Ground, Kirtipur",Won,117.0,4.0,114.0,8.0
T20I,"March 31, 2022",Papua New Guinea,"Tribhuvan University International Cricket Ground, Kirtipur",Won,203.0,7.0,166.0,10.0
T20I,"April 02, 2022",Malaysia,"Tribhuvan University International Cricket Ground, Kirtipur",Won,223.0,5.0,138.0,10.0
T20I,"April 04, 2022",Papua New Guinea,"Tribhuvan University International Cricket Ground, Kirtipur",Won,168.0,6.0,118.0,10.0
ODI,"June 09, 2022",Oman,"Moosa Cricket Stadium, Pearland",Lost,198.0,10.0,211.0,8.0
ODI,"June 11, 2022",United States of America,"Moosa Cricket Stadium, Pearland",Tied,274.0,10.0,274.0,6.0
ODI,"June 14, 2022",Oman,"Moosa Cricket Stadium, Pearland",Won,167.0,3.0,163.0,10.0
ODI,"June 15, 2022",United States of America,"Moosa Cricket Stadium, Pearland",Lost,206.0,10.0,245.0,7.0
ODI,"July 11, 2022",Namibia,"Cambusdoon New Ground, Ayr",Lost,180.0,10.0,220.0,10.0
ODI,"July 13, 2022",Scotland,"Titwood, Glasgow",Won,146.0,5.0,144.0,10.0
ODI,"July 16, 2022",Namibia,"Cambusdoon New Ground, Ayr",Lost,136.0,10.0,199.0,10.0
ODI,"July 17, 2022",Scotland,"Titwood, Glasgow",Lost,128.0,10.0,130.0,2.0
T20I,"August 25, 2022",Kenya,"Gymkhana Club Ground, Nairobi",Won,133.0,5.0,130.0,8.0
T20I,"August 28, 2022",Kenya,"Gymkhana Club Ground, Nairobi",Won,160.0,6.0,156.0,2.0
T20I,"August 29, 2022",Kenya,"Gymkhana Club Ground, Nairobi",Lost,94.0,9.0,101.0,10.0
T20I,"August 30, 2022",Kenya,"Gymkhana Club Ground, Nairobi",Won,175.0,7.0,144.0,7.0
ODI,"November 14, 2022",United Arab Emirates,"Tribhuvan University International Cricket Ground, Kirtipur",Lost,179.0,9.0,263.0,7.0
ODI,"November 16, 2022",United Arab Emirates,"Tribhuvan University International Cricket Ground, Kirtipur",Won,193.0,7.0,191.0,10.0
ODI,"November 18, 2022",United Arab Emirates,"Tribhuvan University International Cricket Ground, Kirtipur",Won,180.0,4.0,176.0,9.0
ODI,"December 02, 2022",Namibia,"United Cricket Club Ground, Windhoek",No Result,197.0,10.0,4.0,0.0
ODI,"December 04, 2022",Scotland,"United Cricket Club Ground, Windhoek",Lost,137.0,10.0,143.0,7.0
ODI,"December 07, 2022",Namibia,"United Cricket Club Ground, Windhoek",Lost,189.0,10.0,275.0,7.0
ODI,"December 08, 2022",Scotland,"United Cricket Club Ground, Windhoek",Lost,119.0,10.0,121.0,2.0
ODI,"February 14, 2023",Namibia,"Tribhuvan University International Cricket Ground, Kirtipur",Won,287.0,8.0,285.0,10.0
ODI,"February 17, 2023",Scotland,"Tribhuvan University International Cricket Ground, Kirtipur",Won,275.0,7.0,274.0,9.0
ODI,"February 18, 2023",Namibia,"Tribhuvan University International Cricket Ground, Kirtipur",Won,278.0,7.0,274.0,6.0
ODI,"February 21, 2023",Scotland,"Tribhuvan University International Cricket Ground, Kirtipur",Won,213.0,8.0,212.0,10.0
ODI,"March 02, 2023",United Arab Emirates,Dubai International Cricket Stadium,Lost,139.0,10.0,207.0,8.0
ODI,"March 03, 2023",Papua New Guinea,Dubai International Cricket Stadium,Won,182.0,7.0,179.0,10.0
ODI,"March 06, 2023",United Arab Emirates,Dubai International Cricket Stadium,Won,229.0,8.0,187.0,10.0
ODI,"March 09, 2023",Papua New Guinea,"Tribhuvan University International Cricket Ground, Kirtipur",Won,297.0,10.0,245.0,10.0
ODI,"March 12, 2023",United Arab Emirates,"Tribhuvan University International Cricket Ground, Kirtipur",Won,248.0,10.0,71.0,10.0
ODI,"March 13, 2023",Papua New Guinea,"Tribhuvan University International Cricket Ground, Kirtipur",Won,100.0,1.0,95.0,10.0
ODI,"March 16, 2023",United Arab Emirates,"Tribhuvan University International Cricket Ground, Kirtipur",Won,269.0,6.0,310.0,6.0
ODI,"April 21, 2023",Oman,"Tribhuvan University International Cricket Ground, Kirtipur",Won,310.0,8.0,226.0,9.0
ODI,"May 01, 2023",United Arab Emirates,"Tribhuvan University International Cricket Ground, Kirtipur",Won,118.0,3.0,117.0,10.0
ODI,"June 18, 2023",Zimbabwe,Harare Sports Club,Lost,290.0,8.0,291.0,2.0
ODI,"June 20, 2023",United States of America,"Takashinga Sports Club, Highfield, Harare",Won,211.0,4.0,207.0,10.0
ODI,"June 22, 2023",West Indies,Harare Sports Club,Lost,238.0,10.0,339.0,7.0
ODI,"June 24, 2023",Netherlands,"Takashinga Sports Club, Highfield, Harare",Lost,167.0,10.0,168.0,3.0
ODI,"July 02, 2023",United Arab Emirates,"Takashinga Sports Club, Highfield, Harare",Won,185.0,7.0,181.0,10.0
ODI,"July 04, 2023",Ireland,"Takashinga Sports Club, Highfield, Harare",Lost,268.0,9.0,269.0,8.0
ODI,"August 30, 2023",Pakistan,Multan Cricket Stadium,Lost,104.0,10.0,342.0,6.0
ODI,"September 04, 2023",India,Pallekele International Cricket Stadium,Lost,230.0,10.0,147.0,0.0
T20I,"September 27, 2023",Mongolia,Zhejiang University of Technology Cricket Field,Won,314.0,3.0,41.0,10.0
T20I,"October 03, 2023",India,Zhejiang University of Technology Cricket Field,Lost,179.0,9.0,202.0,4.0
T20I,"October 18, 2023",United Arab Emirates,Mulpani Cricket Ground,Won,144.0,3.0,140.0,7.0
T20I,"October 19, 2023",Hong Kong,Mulpani Cricket Ground,Won,99.0,4.0,94.0,10.0
T20I,"October 21, 2023",Hong Kong,Mulpani Cricket Ground,Won,213.0,6.0,134.0,8.0
T20I,"October 23, 2023",United Arab Emirates,Mulpani Cricket Ground,Won,165.0,5.0,164.0,7.0
T20I,"October 27, 2023",United Arab Emirates,"Tribhuvan University International Cricket Ground, Kirtipur",Lost,162.0,8.0,167.0,6.0
T20I,"October 30, 2023",Singapore,"Tribhuvan University International Cricket Ground, Kirtipur",Won,147.0,2.0,145.0,9.0
T20I,"October 31, 2023",Malaysia,"Tribhuvan University International Cricket Ground, Kirtipur",Won,166.0,4.0,165.0,9.0
T20I,"November 02, 2023",Oman,"Tribhuvan University International Cricket Ground, Kirtipur",Lost,140.0,10.0,145.0,9.0
T20I,"November 03, 2023",United Arab Emirates,Mulpani Cricket Ground,Won,135.0,2.0,134.0,9.0
T20I,"November 05, 2023",Oman,"Tribhuvan University International Cricket Ground, Kirtipur",Tied,10.0,1.0,21.0,0.0
ODI,"February 08, 2024",Canada,"Tribhuvan University International Cricket Ground, Kirtipur",Won,224.0,10.0,217.0,10.0
ODI,"February 10, 2024",Canada,"Tribhuvan University International Cricket Ground, Kirtipur",Won,287.0,6.0,285.0,9.0
ODI,"February 12, 2024",Canada,"Tribhuvan University International Cricket Ground, Kirtipur",Won,229.0,1.0,232.0,8.0
ODI,"February 15, 2024",Namibia,"Tribhuvan University International Cricket Ground, Kirtipur",Lost,132.0,10.0,134.0,6.0
ODI,"February 17, 2024",Netherlands,"Tribhuvan University International Cricket Ground, Kirtipur",Won,141.0,1.0,137.0,10.0
ODI,"February 21, 2024",Namibia,"Tribhuvan University International Cricket Ground, Kirtipur",Lost,168.0,10.0,172.0,8.0
ODI,"February 25, 2024",Netherlands,"Tribhuvan University International Cricket Ground, Kirtipur",Lost,172.0,10.0,173.0,2.0
T20I,"February 27, 2024",Namibia,"Tribhuvan University International Cricket Ground, Kirtipur",Lost,186.0,10.0,206.0,4.0
T20I,"February 28, 2024",Netherlands,"Tribhuvan University International Cricket Ground, Kirtipur",Lost,182.0,8.0,184.0,4.0
T20I,"March 01, 2024",Namibia,"Tribhuvan University International Cricket Ground, Kirtipur",Won,180.0,8.0,177.0,7.0
T20I,"March 02, 2024",Netherlands,"Tribhuvan University International Cricket Ground, Kirtipur",Won,121.0,4.0,120.0,10.0
T20I,"March 05, 2024",Netherlands,"Tribhuvan University International Cricket Ground, Kirtipur",Lost,184.0,8.0,189.0,6.0
T20I,"March 09, 2024",Hong Kong,"Mission Road Ground, Mong Kok, Hong Kong",Lost,139.0,10.0,212.0,6.0
T20I,"March 10, 2024",Hong Kong,"Mission Road Ground, Mong Kok, Hong Kong",No Result,,,65.0,2.0
T20I,"March 12, 2024",Papua New Guinea,"Mission Road Ground, Mong Kok, Hong Kong",Won,198.0,6.0,113.0,10.0
T20I,"March 13, 2024",Papua New Guinea,"Mission Road Ground, Mong Kok, Hong Kong",Lost,85.0,10.0,171.0,8.0
